instrument,strategy,entry_date,exit_date,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct,hold_bars
NIFTY,Strategy2_VPIN,2026-05-26 11:50:00,2026-05-26 12:20:00,Short,188.3689649212738,197.73204232144235,Time Stop,644.856259686719,4.564490475425735,6
NIFTY,Strategy2_VPIN,2026-05-26 12:20:00,2026-05-26 12:50:00,Short,188.21818162313866,209.89528190038618,Time Stop,1567.8674149350052,11.106737237349932,6
NIFTY,Strategy2_VPIN,2026-05-26 12:50:00,2026-05-26 13:20:00,Short,187.85411417790237,196.47920372504996,Time Stop,589.5867167304358,4.184713365195597,6
NIFTY,Strategy2_VPIN,2026-05-26 13:20:00,2026-05-26 13:50:00,Short,187.7369250860902,202.42002350300208,Time Stop,1043.6753185818825,7.412324937166098,6
NIFTY,Strategy2_VPIN,2026-05-26 13:50:00,2026-05-26 14:20:00,Short,187.5025469024622,193.38696004769554,Time Stop,384.19095807974327,2.731987480892529,6
NIFTY,Strategy2_VPIN,2026-05-26 14:20:00,2026-05-26 14:50:00,Long,210.39820827581934,192.4510122815591,Time Stop,-1404.167914494601,-8.898478277621209,6
NIFTY,Strategy2_VPIN,2026-05-26 14:50:00,2026-05-26 15:20:00,Short,187.13144811171696,174.94216462676377,Time Stop,-970.4895739447212,-6.914851093443447,6
NIFTY,Strategy2_VPIN,2026-05-26 15:20:00,2026-05-27 09:35:00,Long,210.31488329484273,191.8740203850739,Time Stop,-1441.1632188982592,-9.136542922819062,6
NIFTY,Strategy2_VPIN,2026-05-27 09:35:00,2026-05-27 10:05:00,Short,187.0494157474459,166.107680719977,Time Stop,-1626.5221964012012,-11.594242372809342,6
NIFTY,Strategy2_VPIN,2026-05-27 10:05:00,2026-05-27 10:35:00,Long,210.39645406569252,229.94550014263586,Time Stop,1406.3630678313757,8.912463688779749,6
NIFTY,Strategy2_VPIN,2026-05-27 10:35:00,2026-05-27 11:05:00,Long,210.71572030858442,214.39309889573087,Time Stop,216.67349717178953,1.3710320037155916,6
NIFTY,Strategy2_VPIN,2026-05-27 11:05:00,2026-05-27 11:35:00,Long,210.7771176629867,199.9797252118242,Time Stop,-868.2884917665557,-5.4926170442901645,6
NIFTY,Strategy2_VPIN,2026-05-27 11:35:00,2026-05-27 12:05:00,Short,187.58067296367153,198.57525229573548,Time Stop,767.216433268123,5.4534149397982565,6
NIFTY,Strategy2_VPIN,2026-05-27 12:05:00,2026-05-27 12:35:00,Long,210.39469985556752,212.80687288704394,Time Stop,121.8689065873135,0.7723192435992889,6
NIFTY,Strategy2_VPIN,2026-05-27 12:35:00,2026-05-27 13:05:00,Long,210.43504668846072,194.02388866128786,Time Stop,-1289.0375041287032,-8.167445010792733,6
NIFTY,Strategy2_VPIN,2026-05-27 13:05:00,2026-05-27 13:35:00,Short,187.11972920253538,180.9804437620005,Time Stop,-517.0109158235199,-3.6839936157589994,6
NIFTY,Strategy2_VPIN,2026-05-27 13:35:00,2026-05-27 14:05:00,Long,210.18945727085156,218.17106370043257,Time Stop,539.3442587748677,3.4213213531438926,6
NIFTY,Strategy2_VPIN,2026-05-27 14:05:00,2026-05-27 14:35:00,Short,187.33926343453277,210.0980790208414,Time Stop,1649.0264885626552,11.736471812907288,6
NIFTY,Strategy2_VPIN,2026-05-27 14:35:00,2026-05-27 15:05:00,Short,186.98066481358364,169.9516125842929,Time Stop,-1333.240869679711,-9.507156767672052,6
NIFTY,Strategy2_VPIN,2026-05-27 15:05:00,2026-05-29 09:20:00,Long,210.2420835746234,239.62155906437147,Time Stop,2143.2167978123507,13.592057063441576,6
NIFTY,Strategy2_VPIN,2026-05-29 09:20:00,2026-05-29 09:50:00,Short,187.70020583732185,203.28725725502045,Time Stop,1111.4344204882398,7.895103545785918,6
NIFTY,Strategy2_VPIN,2026-05-29 09:50:00,2026-05-29 10:20:00,Short,187.45176496267413,163.35214986804567,Time Stop,-1863.257308264517,-13.253239190256282,6
NIFTY,Strategy2_VPIN,2026-05-29 10:20:00,2026-05-29 10:50:00,Long,210.91131473760834,178.0224007779707,Time Stop,-2524.1705641710246,-15.957231865038048,6
NIFTY,Strategy2_VPIN,2026-05-29 10:50:00,2026-05-29 11:20:00,Short,187.34629478004354,171.79936266416553,Time Stop,-1222.18146327584,-8.698198628806681,6
NIFTY,Strategy2_VPIN,2026-05-29 11:20:00,2026-05-29 11:50:00,Long,210.623624276981,214.03704432535596,Time Stop,196.89677354101786,1.246436776924817,6
NIFTY,Strategy2_VPIN,2026-05-29 11:50:00,2026-05-29 12:20:00,Long,210.68063610606987,173.5080093098877,Time Stop,-2845.23549875738,-18.00662558170057,6
NIFTY,Strategy2_VPIN,2026-05-29 12:20:00,2026-05-29 12:50:00,Long,210.01842178358675,200.99656149652947,Time Stop,-735.1351957769012,-4.667115640197954,6
NIFTY,Strategy2_VPIN,2026-05-29 12:50:00,2026-05-29 13:20:00,Short,186.9322266556319,223.81857065852637,Time Stop,2707.9920143379486,19.31532129967534,6
NIFTY,Strategy2_VPIN,2026-05-29 13:20:00,2026-05-29 13:50:00,Short,186.36346893002883,206.15658808584158,Time Stop,1426.8205341202417,10.20815608203379,6
