date,f,atm_strike,atm_iv,ivp_252
2020-09-16,11616.4,11600.0,0.16645923556780662,37.698412698412696
2020-09-17,11522.4,11500.0,0.16645923556780662,37.5
2020-09-18,11515.25,11500.0,0.16746271004409902,38.095238095238095
2020-09-21,11256.1,11250.0,0.24668602503824907,65.87301587301587
2020-09-22,11162.05,11150.0,0.21654097244908593,58.730158730158735
2020-09-23,11147.65,11150.0,0.19328792626791835,51.587301587301596
2020-09-24,10805.55,10800.0,0.19328792626791835,51.388888888888886
2020-09-25,11042.2,11050.0,0.1868929191305358,46.82539682539682
2020-09-28,11238.0,11250.0,0.1872273688646907,46.82539682539682
2020-09-29,11234.7,11250.0,0.18665807973745782,46.42857142857143
2020-09-30,11256.85,11250.0,0.18285895798263593,44.44444444444444
2020-10-01,11435.55,11450.0,0.18285895798263593,44.24603174603175
2020-10-05,11517.65,11500.0,0.1948649337849528,53.17460317460318
2020-10-06,11669.65,11650.0,0.17880905951169307,42.06349206349206
2020-10-07,11750.9,11750.0,0.19239351127599308,51.19047619047619
2020-10-08,11831.8,11850.0,0.19239351127599308,50.99206349206349
2020-10-09,11929.8,11950.0,0.1794167086859837,41.66666666666667
2020-10-12,11938.35,11950.0,0.23466512872017278,63.095238095238095
2020-10-13,11946.1,11950.0,0.23095614832996098,61.904761904761905
2020-10-14,11982.25,12000.0,0.21866677271483262,58.333333333333336
2020-10-15,11685.55,11700.0,0.21866677271483262,58.13492063492064
2020-10-16,11765.15,11750.0,0.18508350431101095,43.25396825396825
2020-10-19,11889.4,11900.0,0.1901652588444761,47.61904761904761
2020-10-20,11895.9,11900.0,0.22601502135406495,61.50793650793651
2020-10-21,11927.45,11950.0,0.20654797053379587,54.36507936507936
2020-10-22,11898.65,11900.0,0.20654797053379587,54.166666666666664
2020-10-23,11934.35,11950.0,0.1639389128493078,32.142857142857146
2020-10-26,11778.4,11800.0,0.22695040683354906,61.50793650793651
2020-10-27,11879.05,11900.0,0.21314319064072593,55.158730158730165
2020-10-28,11721.5,11700.0,0.24659553384732436,65.47619047619048
2020-10-29,11670.8,11650.0,0.24659553384732436,65.27777777777779
2020-10-30,11638.4,11650.0,0.2570980854164416,67.46031746031747
2020-11-02,11681.55,11700.0,0.32158968859747966,80.15873015873017
2020-11-03,11824.95,11800.0,0.3594903246461755,82.93650793650794
2020-11-04,11922.85,11900.0,0.3090590537648525,76.98412698412699
2020-11-05,12143.3,12150.0,0.3090590537648525,76.78571428571429
2020-11-06,12261.45,12250.0,0.18094865209701244,35.714285714285715
2020-11-09,12467.25,12450.0,0.19635742293656167,47.61904761904761
2020-11-10,12659.1,12650.0,0.2232424889500454,57.14285714285714
2020-11-11,12755.05,12750.0,0.2115119021870996,51.19047619047619
2020-11-12,12706.0,12700.0,0.2115119021870996,50.99206349206349
2020-11-13,12753.4,12750.0,0.15957278365278343,27.380952380952383
2020-11-17,12881.85,12900.0,0.16868492365394044,29.761904761904763
2020-11-18,12957.25,12950.0,0.16465151035972275,27.380952380952383
2020-11-19,12793.5,12800.0,0.16465151035972275,27.18253968253968
2020-11-20,12871.3,12850.0,0.15758960585778684,25.793650793650798
2020-11-23,12934.35,12950.0,0.18698276894112353,38.095238095238095
2020-11-24,13062.45,13050.0,0.1924086662158302,43.25396825396825
2020-11-25,12859.15,12850.0,0.22296697300091073,56.74603174603175
2020-11-26,12987.0,13000.0,0.22296697300091073,56.547619047619044
2020-11-27,13017.4,13000.0,0.16286449290206584,24.6031746031746
2020-12-01,13143.4,13150.0,0.2211680357002509,55.158730158730165
2020-12-02,13162.45,13150.0,0.20195320825136434,46.82539682539682
2020-12-03,13191.85,13200.0,0.20195320825136434,46.62698412698413
